parent_name,parent_smiles,parent_inchi,metabolite_name,metabolite_smiles,metabolite_inchi,enzymes,fingerprint_similarity,reaction_types
Lumiracoxib metabolite M9,O=C(O)CC1=CC(CO)=CC=C1NC1=C(Cl)C=C(O)C=C1F,CTTBSLWMGLKKJO-UHFFFAOYSA-N,4'-Hydroxy-5-carboxylumiracoxib (M5),O=C(O)CC1=CC(C(=O)O)=CC=C1NC1=C(Cl)C=C(O)C=C1F,MNDQIDSPYXYALX-UHFFFAOYSA-N,,0.93,
4'-Hydroxy-5-carboxylumiracoxib (M5),O=C(O)CC1=CC(C(=O)O)=CC=C1NC1=C(Cl)C=C(O)C=C1F,MNDQIDSPYXYALX-UHFFFAOYSA-N,Lumiracoxib metabolite M2,O=C(O)CC1=CC(C(=O)O)=CC=C1NC1=C(Cl)C=C(OS(=O)(=O)O)C=C1F,NDKGEYRNJBCHHS-UHFFFAOYSA-N,Sulfotransferase,0.88,
4'-Hydroxy-5-carboxylumiracoxib (M5),O=C(O)CC1=CC(C(=O)O)=CC=C1NC1=C(Cl)C=C(O)C=C1F,MNDQIDSPYXYALX-UHFFFAOYSA-N,Lumiracoxib metabolite M8,O=C(O)C1=CC=C2C(=C1)CC(=O)N2C1=C(Cl)C=C(O)C=C1F,LFXDWINKKUWAOT-UHFFFAOYSA-N,,0.65,
Lumiracoxib metabolite M15,O=C(O)C1=CC=C2C(=C1)CC(=O)N2C1=C(Cl)C=CC=C1F,CYWNCAUMMWNHKA-UHFFFAOYSA-N,Lumiracoxib metabolite M8,O=C(O)C1=CC=C2C(=C1)CC(=O)N2C1=C(Cl)C=C(O)C=C1F,LFXDWINKKUWAOT-UHFFFAOYSA-N,,0.94,
Lumiracoxib metabolite M8,O=C(O)C1=CC=C2C(=C1)CC(=O)N2C1=C(Cl)C=C(O)C=C1F,LFXDWINKKUWAOT-UHFFFAOYSA-N,Lumiracoxib metabolite M4/M6,O=C(O)C1=CC=C2C(=C1)CC(=O)N2C1=C(Cl)C=C(OS(=O)(=O)O)C=C1F,YMUCSRFAMQITFI-UHFFFAOYSA-N,,0.92,
Cilazapril,CCOC(=O)C(CCC1=CC=CC=C1)NC1CCCN2CCCC(C(=O)O)N2C1=O,"InChI=1S/C22H31N3O5/c1-2-30-22(29)18(13-12-16-8-4-3-5-9-16)23-17-10-6-14-24-15-7-11-19(21(27)28)25(24)20(17)26/h3-5,8-9,17-19,23H,2,6-7,10-15H2,1H3,(H,27,28)/t17-,18-,19-/m0/s1",Cilazaprilat,O=C(O)C(CCC1=CC=CC=C1)NC1CCCN2CCCC(C(=O)O)N2C1=O,UVAUYSRYXACKSC-ULQDDVLXSA-N,,0.94,
Spirapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N1CC2(CC1C(=O)O)SCCS2,"InChI=1S/C22H30N2O5S2/c1-3-29-21(28)17(10-9-16-7-5-4-6-8-16)23-15(2)19(25)24-14-22(30-11-12-31-22)13-18(24)20(26)27/h4-8,15,17-18,23H,3,9-14H2,1-2H3,(H,26,27)/t15-,17-,18-/m0/s1",Spiraprilat,CC(NC(CCC1=CC=CC=C1)C(=O)O)C(=O)N1CC2(CC1C(=O)O)SCCS2,FMMDBLMCSDRUPA-BPUTZDHNSA-N,,0.94,
Hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,"InChI=1S/C12H16N2O3/c1-12(8-6-4-3-5-7-8)9(15)13-11(17)14(2)10(12)16/h6H,3-5,7H2,1-2H3,(H,13,15,17)",3'-Hydroxyhexobarbital,CN1C(=O)N=C(O)C(C)(C2=CC(O)CCC2)C1=O,YHCGILGEMWNROZ-UHFFFAOYSA-N,"Cytochrome P450 2C19, Cytochrome P450 2C9",0.48,
Hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,"InChI=1S/C12H16N2O3/c1-12(8-6-4-3-5-7-8)9(15)13-11(17)14(2)10(12)16/h6H,3-5,7H2,1-2H3,(H,13,15,17)",Epoxy-hexobarbital,CN1C(=O)N=C(O)C(C)(C23CCCCC2O3)C1=O,WOWLNDOPAUTOTH-UHFFFAOYSA-N,Prostaglandin G/H synthase 1,0.34,
3'-Hydroxyhexobarbital,CN1C(=O)N=C(O)C(C)(C2=CC(O)CCC2)C1=O,YHCGILGEMWNROZ-UHFFFAOYSA-N,3'-Oxohexobarbital,CN1C(=O)NC(=O)C(C)(C2=CC(=O)CCC2)C1=O,JLDHHLBFGIBRGN-UHFFFAOYSA-N,,0.49,
Mestranol,C#CC1(O)CCC2C3CCC4=C(C=CC(OC)=C4)C3CCC21C,"InChI=1S/C21H26O2/c1-4-21(22)12-10-19-18-7-5-14-13-15(23-3)6-8-16(14)17(18)9-11-20(19,21)2/h1,6,8,13,17-19,22H,5,7,9-12H2,2-3H3/t17-,18-,19+,20+,21+/m1/s1",Ethinylestradiol,C#CC1(O)CCC2C3CCC4=C(C=CC(O)=C4)C3CCC21C,"InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3/t16-,17-,18+,19+,20+/m1/s1",Cytochrome P450 2C9,0.94,
Ephedrine,CNC(C)C(O)C1=CC=CC=C1,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10-/m0/s1",Norephedrine,CC(N)C(O)C1=CC=CC=C1,DLNKOYKMWOXYQA-VXNVDRBHSA-N,,0.85,
Colchicine,COC1=CC2=C(C3=CC=C(OC)C(=O)C=C3C(NC(C)=O)CC2)C(OC)=C1OC,"InChI=1S/C22H25NO6/c1-12(24)23-16-8-6-13-10-19(27-3)21(28-4)22(29-5)20(13)14-7-9-18(26-2)17(25)11-15(14)16/h7,9-11,16H,6,8H2,1-5H3,(H,23,24)/t16-/m0/s1",Colchiceine,COC1=C(OC)C(OC)=C2C(=C1)CCC(NC(C)=O)C1=CC(=O)C(O)=CC=C12,"InChI=1S/C21H23NO6/c1-11(23)22-15-7-5-12-9-18(26-2)20(27-3)21(28-4)19(12)13-6-8-16(24)17(25)10-14(13)15/h6,8-10,15H,5,7H2,1-4H3,(H,22,23)(H,24,25)",,0.99,
Drospirenone,CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1,"InChI=1S/C24H30O3/c1-22-6-3-12(25)9-17(22)13-10-14(13)20-16(22)4-7-23(2)21(20)15-11-18(15)24(23)8-5-19(26)27-24/h9,13-16,18,20-21H,3-8,10-11H2,1-2H3/t13-,14+,15-,16+,18+,20-,21+,22-,23+,24+/m1/s1","4,5-dihydro-drospirenone-3-sulfate",CC12CCC(S(=O)(=O)O)CC1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1,ZHIWICDXDMTIEM-AAQOLUSRSA-N,,0.59,
Danazol,C#CC1(O)CCC2C3CCC4=CC5=C(C=NO5)CC4(C)C3CCC21C,"InChI=1S/C22H27NO2/c1-4-22(24)10-8-18-16-6-5-15-11-19-14(13-23-25-19)12-20(15,2)17(16)7-9-21(18,22)3/h1,11,13,16-18,24H,5-10,12H2,2-3H3/t16-,17+,18+,20+,21+,22+/m1/s1",Ethisterone,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,CHNXZKVNWQUJIB-CEGNMAFCSA-N,,0.4,
Danazol,C#CC1(O)CCC2C3CCC4=CC5=C(C=NO5)CC4(C)C3CCC21C,"InChI=1S/C22H27NO2/c1-4-22(24)10-8-18-16-6-5-15-11-19-14(13-23-25-19)12-20(15,2)17(16)7-9-21(18,22)3/h1,11,13,16-18,24H,5-10,12H2,2-3H3/t16-,17+,18+,20+,21+,22+/m1/s1",17-hydroxymethylethisterone,C#CC1(O)CCC2C3CCC4=CC(=O)C(CO)CC4(C)C3CCC21C,JGJFMZZHCOKXHX-RIONBYPISA-N,,0.41,
Bambuterol,CN(C)C(=O)OC1=CC(C(O)CNC(C)(C)C)=CC(OC(=O)N(C)C)=C1,"InChI=1S/C18H29N3O5/c1-18(2,3)19-11-15(22)12-8-13(25-16(23)20(4)5)10-14(9-12)26-17(24)21(6)7/h8-10,15,19,22H,11H2,1-7H3",Terbutaline,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,"InChI=1S/C12H19NO3/c1-12(2,3)13-7-11(16)8-4-9(14)6-10(15)5-8/h4-6,11,13-16H,7H2,1-3H3",Cholinesterase,0.64,
Testosterone propionate,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,"InChI=1S/C22H32O3/c1-4-20(24)25-19-8-7-17-16-6-5-14-13-15(23)9-11-21(14,2)18(16)10-12-22(17,19)3/h13,16-19H,4-12H2,1-3H3/t16-,17-,18-,19-,21-,22-/m0/s1",Testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,"InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3/t14-,15-,16-,17-,18-,19-/m0/s1",,0.78,
Dihydrotestosterone,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,NVKAWKQGWWIWPM-ABEVXSGRSA-N,3-alpha-Androstanediol glucuronide,CC12CCC3C(CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2O,GYNWSIBKBBWJJW-YMRFBRODSA-N,,0.3,
Aminophenazone,CC1=C(N(C)C)C(=O)N(C2=CC=CC=C2)N1C,"InChI=1S/C13H17N3O/c1-10-12(14(2)3)13(17)16(15(10)4)11-8-6-5-7-9-11/h5-9H,1-4H3",N-Desmethylaminopyrine,CNC1=C(C)N(C)N(C2=CC=CC=C2)C1=O,JILCEWWZTBBOFS-UHFFFAOYSA-N,"Cytochrome P450 1A2, Cytochrome P450 3A4, Cytochrome P450 2C18, Cytochrome P450 2C19, Cytochrome P450 2C8, Cytochrome P450 2C9, Cytochrome P450 2D6",0.96,
6-Monoacetylmorphine,CC(=O)OC1C=CC2C3CC4=C5C(=C(O)C=C4)OC1C52CCN3C,JJGYGPZNTOPXGV-SSTWWWIQSA-N,morphine,CN1CCC23C4=C5C=CC(O)=C4OC2C(O)C=CC3C1C5,BQJCRHHNABKAKU-PKBQDISRSA-N,"Liver carboxylesterase 1, Cocaine esterase",0.94,
Metamfetamine,CNC(C)CC1=CC=CC=C1,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3/t9-/m0/s1",4-Hydroxynorephedrine,CC(N)C(O)C1=CC=C(O)C=C1,JAYBQRKXEFDRER-HZGVNTEJSA-N,,0.46,
Metamfetamine,CNC(C)CC1=CC=CC=C1,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3/t9-/m0/s1",Norephedrine,CC(N)C(O)C1=CC=CC=C1,DLNKOYKMWOXYQA-VXNVDRBHSA-N,,0.56,
Metamfetamine,CNC(C)CC1=CC=CC=C1,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3/t9-/m0/s1",4-hydroxyamphetamine,CC(N)CC1=CC=C(O)C=C1,GIKNHHRFLCDOEU-UHFFFAOYSA-N,,0.64,
Phendimetrazine,CC1C(C2=CC=CC=C2)OCCN1C,"InChI=1S/C12H17NO/c1-10-12(14-9-8-13(10)2)11-6-4-3-5-7-11/h3-7,10,12H,8-9H2,1-2H3/t10-,12+/m0/s1",Phenmetrazine,CC1NCCOC1C1=CC=CC=C1,OOBHFESNSZDWIU-UHFFFAOYSA-N,,0.86,
Solifenacin,O=C(OC1CN2CCC1CC2)N1CCC2=CC=CC=C2C1C1=CC=CC=C1,"InChI=1S/C23H26N2O2/c26-23(27-21-16-24-13-10-18(21)11-14-24)25-15-12-17-6-4-5-9-20(17)22(25)19-7-2-1-3-8-19/h1-9,18,21-22H,10-16H2/t21-,22-/m0/s1",4R-hydroxy solifenacin,O=C(OC1CN2CCC1CC2)N1CC(O)C2=C(C=CC=C2)C1C1=CC=CC=C1,LRNNBJBAUXSVMH-NHNZYLEHSA-N,"Cytochrome P450 3A4, Cytochrome P450 1A1, Cytochrome P450 2D6",0.88,
Hydroxychloroquine,CCN(CCO)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,"InChI=1S/C18H26ClN3O/c1-3-22(11-12-23)10-4-5-14(2)21-17-8-9-20-18-13-15(19)6-7-16(17)18/h6-9,13-14,23H,3-5,10-12H2,1-2H3,(H,20,21)",Desethylchloroquine,CCNCCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,,Cytochrome P450 3A4,0.94,
Etoricoxib,CC1=NC=C(C2=NC=C(Cl)C=C2C2=CC=C(S(C)(=O)=O)C=C2)C=C1,"InChI=1S/C18H15ClN2O2S/c1-12-3-4-14(10-20-12)18-17(9-15(19)11-21-18)13-5-7-16(8-6-13)24(2,22)23/h3-11H,1-2H3",Etoricoxib 1'-N'-oxide,CC1=[N+]([O-])C=C(C2=NC=C(Cl)C=C2C2=CC=C(S(C)(=O)=O)C=C2)C=C1,KMLFAHIIJSUUPX-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2D6, Cytochrome P450 1A2",0.89,
Etoricoxib,CC1=NC=C(C2=NC=C(Cl)C=C2C2=CC=C(S(C)(=O)=O)C=C2)C=C1,"InChI=1S/C18H15ClN2O2S/c1-12-3-4-14(10-20-12)18-17(9-15(19)11-21-18)13-5-7-16(8-6-13)24(2,22)23/h3-11H,1-2H3",6-Hydroxymethyletoricoxib,CS(=O)(=O)C1=CC=C(C2=CC(Cl)=CN=C2C2=CN=C(CO)C=C2)C=C1,SCVWZQQMIZJGJY-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2D6, Cytochrome P450 1A2",0.95,
6-Hydroxymethyletoricoxib,CS(=O)(=O)C1=CC=C(C2=CC(Cl)=CN=C2C2=CN=C(CO)C=C2)C=C1,SCVWZQQMIZJGJY-UHFFFAOYSA-N,6-Hydroxymethyletoricoxib 1'-N'-oxide,CS(=O)(=O)C1=CC=C(C2=CC(Cl)=CN=C2C2=C[N+]([O-])=C(CO)C=C2)C=C1,SSTJTMIIIMAQMR-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2D6, Cytochrome P450 1A2",0.89,
6-Hydroxymethyletoricoxib,CS(=O)(=O)C1=CC=C(C2=CC(Cl)=CN=C2C2=CN=C(CO)C=C2)C=C1,SCVWZQQMIZJGJY-UHFFFAOYSA-N,6-Carboxy-etoricoxib,CS(=O)(=O)C1=CC=C(C2=CC(Cl)=CN=C2C2=CN=C(C(=O)O)C=C2)C=C1,QIHJKHCGJLIAGS-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C9",0.93,
6-Hydroxymethyletoricoxib,CS(=O)(=O)C1=CC=C(C2=CC(Cl)=CN=C2C2=CN=C(CO)C=C2)C=C1,SCVWZQQMIZJGJY-UHFFFAOYSA-N,6-Hydroxymethyletoricoxib glucuronide,CS(=O)(=O)C1=CC=C(C2=CC(Cl)=CN=C2C2=CN=C(COC3OC(C(=O)O)C(O)C(O)C3O)C=C2)C=C1,UJWKCNOGFMSHNK-NDUFDKTRSA-N,UDP-glucuronosyltransferases (UGTs),0.68,
Genistein,O=C1C(C2=CC=C(O)C=C2)=COC2=C1C(O)=CC(O)=C2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H",3'-hydroxygenistein,O=C1C(C2=CC=C(O)C(O)=C2)=COC2=C1C(O)=CC(O)=C2,IOYHCQBYQJQBSK-UHFFFAOYSA-N,Cytochrome P450 1A2,0.94,
Roflumilast,O=C(NC1=C(Cl)C=NC=C1Cl)C1=CC(OCC2CC2)=C(OC(F)F)C=C1,"InChI=1S/C17H14Cl2F2N2O3/c18-11-6-22-7-12(19)15(11)23-16(24)10-3-4-13(26-17(20)21)14(5-10)25-8-9-1-2-9/h3-7,9,17H,1-2,8H2,(H,22,23,24)",Roflumilast N-oxide,O=C(NC1=C(Cl)C=[N+]([O-])C=C1Cl)C1=CC(OCC2CC2)=C(OC(F)F)C=C1,PCGSQNPMMSALEJ-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 1A2",0.93,
Prasterone,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,"InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-16,20H,4-11H2,1-2H3/t13-,14-,15-,16-,18-,19-/m0/s1",Dehydroepiandrosterone sulfate,CC12CCC3C(CC=C4CC(OS(=O)(=O)O)CCC43C)C1CCC2=O,CZWCKYRVOZZJNM-USOAJAOKSA-N,,0.77,
Vorinostat,O=C(CCCCCCC(=O)NC1=CC=CC=C1)NO,"InChI=1S/C14H20N2O3/c17-13(15-12-8-4-3-5-9-12)10-6-1-2-7-11-14(18)16-19/h3-5,8-9,19H,1-2,6-7,10-11H2,(H,15,17)(H,16,18)",4-anilino-4-oxobutanoic acid,O=C(O)CCC(O)=NC1=CC=CC=C1,KTFGFGGLCMGYTP-UHFFFAOYSA-N,,0.17,
Fusidic acid,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O,"InChI=1S/C31H48O6/c1-17(2)9-8-10-20(28(35)36)26-22-15-24(34)27-29(5)13-12-23(33)18(3)21(29)11-14-30(27,6)31(22,7)16-25(26)37-19(4)32/h9,18,21-25,27,33-34H,8,10-16H2,1-7H3,(H,35,36)/b26-20-/t18-,21-,22-,23+,24+,25-,27-,29-,30-,31-/m0/s1",3-keto fusidic acid,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(C(=O)O)C(=O)CC=C(C)C,LOVQKVDREFGPKC-COCAZOITSA-N,,0.91,
Pregnenolone,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,"InChI=1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,15-19,23H,5-12H2,1-3H3/t15-,16-,17+,18-,19-,20-,21+/m0/s1",17-Hydroxypregnenolone sulfate,CC(=O)C1(O)CCC2C3CC=C4CC(OS(=O)(=O)O)CCC4(C)C3CCC21C,OMOKWYAQVYBHMG-QUPIPBJSSA-N,,0.64,
Stanolone,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14-,15-,16-,17-,18-,19-/m0/s1",11-Oxo-androsterone glucuronide,CC12CC(=O)C3C(CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2=O,QTXWOOLAHRQMGZ-UHFFFAOYSA-N,,0.28,
Stanolone,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14-,15-,16-,17-,18-,19-/m0/s1",11-beta-Hydroxyandrosterone-3-glucuronide,CC12CC(O)C3C(CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2=O,BRPLOVMHAFXVOQ-HUMIJZDLSA-N,,0.3,
Propanoyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1OP(=O)(O)O,"InChI=1S/C24H40N7O17P3S/c1-4-15(33)52-8-7-26-14(32)5-6-27-22(36)19(35)24(2,3)10-45-51(42,43)48-50(40,41)44-9-13-18(47-49(37,38)39)17(34)23(46-13)31-12-30-16-20(25)28-11-29-21(16)31/h11-13,17-19,23,34-35H,4-10H2,1-3H3,(H,26,32)(H,27,36)(H,40,41)(H,42,43)(H2,25,28,29)(H2,37,38,39)/t13-,17-,18-,19+,23-/m1/s1",(R)-methylmalonyl-CoA,CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1OP(=O)(O)O,"InChI=1S/C25H40N7O19P3S/c1-12(23(37)38)24(39)55-7-6-27-14(33)4-5-28-21(36)18(35)25(2,3)9-48-54(45,46)51-53(43,44)47-8-13-17(50-52(40,41)42)16(34)22(49-13)32-11-31-15-19(26)29-10-30-20(15)32/h10-13,16-18,22,34-35H,4-9H2,1-3H3,(H,27,33)(H,28,36)(H,37,38)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/t12-,13-,16-,17-,18+,22-/m1/s1",,0.98,
(R)-methylmalonyl-CoA,CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1OP(=O)(O)O,"InChI=1S/C25H40N7O19P3S/c1-12(23(37)38)24(39)55-7-6-27-14(33)4-5-28-21(36)18(35)25(2,3)9-48-54(45,46)51-53(43,44)47-8-13-17(50-52(40,41)42)16(34)22(49-13)32-11-31-15-19(26)29-10-30-20(15)32/h10-13,16-18,22,34-35H,4-9H2,1-3H3,(H,27,33)(H,28,36)(H,37,38)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/t12-,13-,16-,17-,18+,22-/m1/s1",Succinyl-Coenzyme A,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O,"InChI=1S/C25H40N7O19P3S/c1-25(2,20(38)23(39)28-6-5-14(33)27-7-8-55-16(36)4-3-15(34)35)10-48-54(45,46)51-53(43,44)47-9-13-19(50-52(40,41)42)18(37)24(49-13)32-12-31-17-21(26)29-11-30-22(17)32/h11-13,18-20,24,37-38H,3-10H2,1-2H3,(H,27,33)(H,28,39)(H,34,35)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/t13-,18-,19-,20+,24-/m1/s1",,0.97,
Phenacetin,CCOC1=CC=C(NC(C)=O)C=C1,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",Acetaminophen,CC(=O)NC1=CC=C(O)C=C1,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",Cytochrome P450 1A2,0.77,
Estrone sulfate,CC12CCC3C4=C(C=C(OS(=O)(=O)O)C=C4)CCC3C1CCC2=O,"InChI=1S/C18H22O5S/c1-18-9-8-14-13-5-3-12(23-24(20,21)22)10-11(13)2-4-15(14)16(18)6-7-17(18)19/h3,5,10,14-16H,2,4,6-9H2,1H3,(H,20,21,22)/t14-,15-,16+,18+/m1/s1",Estrone,CC12CCC3C4=C(C=C(O)C=C4)CCC3C1CCC2=O,DNXHEGUUPJUMQT-CBZIJGRNSA-N,,0.83,
Estrone sulfate,CC12CCC3C4=C(C=C(OS(=O)(=O)O)C=C4)CCC3C1CCC2=O,"InChI=1S/C18H22O5S/c1-18-9-8-14-13-5-3-12(23-24(20,21)22)10-11(13)2-4-15(14)16(18)6-7-17(18)19/h3,5,10,14-16H,2,4,6-9H2,1H3,(H,20,21,22)/t14-,15-,16+,18+/m1/s1",Estriol,CC12CCC3C4=C(C=C(O)C=C4)CCC3C1CC(O)C2O,PROQIPRRNZUXQM-ZXXIGWHRSA-N,,0.65,
Quinestrol,C#CC1(O)CCC2C3CCC4=C(C=CC(OC5CCCC5)=C4)C3CCC21C,"InChI=1S/C25H32O2/c1-3-25(26)15-13-23-22-10-8-17-16-19(27-18-6-4-5-7-18)9-11-20(17)21(22)12-14-24(23,25)2/h1,9,11,16,18,21-23,26H,4-8,10,12-15H2,2H3/t21-,22-,23+,24+,25+/m1/s1",Ethinylestradiol,C#CC1(O)CCC2C3CCC4=C(C=CC(O)=C4)C3CCC21C,"InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3/t16-,17-,18+,19+,20+/m1/s1",,0.87,
Aldosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,"InChI=1S/C21H28O5/c1-20-7-6-13(24)8-12(20)2-3-14-15-4-5-16(18(26)10-22)21(15,11-23)9-17(25)19(14)20/h8,11,14-17,19,22,25H,2-7,9-10H2,1H3/t14-,15-,16+,17-,19+,20-,21+/m0/s1",Aldosterone 18-glucuronide,CC12CCC(=O)C=C1CCC1C2C2CC3(C(OC4OC(C(=O)O)C(O)C(O)C4O)O2)C(C(=O)CO)CCC13,OMRIQCUHVVBJKI-ACOLCOCVSA-N,,0.52,
Aldosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,"InChI=1S/C21H28O5/c1-20-7-6-13(24)8-12(20)2-3-14-15-4-5-16(18(26)10-22)21(15,11-23)9-17(25)19(14)20/h8,11,14-17,19,22,25H,2-7,9-10H2,1H3/t14-,15-,16+,17-,19+,20-,21+/m0/s1",Tetrahydroaldosterone-3-glucuronide,CC12CCC(OC3OC(C(=O)O)C(O)C(O)C3O)CC1CCC1C2C2CC3(C(O)O2)C(C(=O)CO)CCC13,CGIURIOFMWUPSV-RUQPETGGSA-N,,0.38,
Licofelone,CC1(C)CC2=C(C3=CC=CC=C3)C(C3=CC=C(Cl)C=C3)=C(CC(=O)O)N2C1,"InChI=1S/C23H22ClNO2/c1-23(2)13-19-22(15-6-4-3-5-7-15)21(16-8-10-17(24)11-9-16)18(12-20(26)27)25(19)14-23/h3-11H,12-14H2,1-2H3,(H,26,27)",Licofelone metabolite M2,CC1(C)CC2=C(C3=CC=CC=C3)C(C3=CC(O)=C(Cl)C=C3)=C(CC(=O)O)N2C1,QUCLYFKWRYCDCG-UHFFFAOYSA-N,"Cytochrome P450 2J2, Cytochrome P450 2C9, Cytochrome P450 2C8",0.94,
Cyproterone acetate,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,"InChI=1S/C24H29ClO4/c1-12(26)24(29-13(2)27)8-6-16-14-10-20(25)19-11-21(28)15-9-18(15)23(19,4)17(14)5-7-22(16,24)3/h10-11,14-18H,5-9H2,1-4H3/t14-,15+,16-,17-,18-,22-,23-,24-/m0/s1",15beta-hydroxycyproterone acetate,CC(=O)OC1(C(C)=O)CC(O)C2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,HRANPRDGABOKNQ-RXHWKJIASA-N,,0.91,
Debrisoquine,N=C(N)N1CCC2=CC=CC=C2C1,"InChI=1S/C10H13N3/c11-10(12)13-6-5-8-3-1-2-4-9(8)7-13/h1-4H,5-7H2,(H3,11,12)",4-Hydroxydebrisoquine,N=C(N)N1CC2=C(C=CC=C2)C(O)C1,,Cytochrome P450 2D6,0.74,
