parent_name,parent_smiles,parent_inchi,metabolite_name,metabolite_smiles,metabolite_inchi,enzymes,fingerprint_similarity,reaction_type,generation
Pholcodine,CN1CCC23C4=C5C=CC(OCCN6CCOCC6)=C4OC2C(O)C=CC3C1C5,"InChI=1S/C23H30N2O4/c1-24-7-6-23-16-3-4-18(26)22(23)29-21-19(5-2-15(20(21)23)14-17(16)24)28-13-10-25-8-11-27-12-9-25/h2-5,16-18,22,26H,6-14H2,1H3/t16-,17+,18-,22-,23-/m0/s1",Codeine-6-glucuronide,COC1=CC=C2CC3C4C=CC(OC5OC(C(=O)O)C(O)C(O)C5O)C5OC1=C2C45CCN3C,CRWVOYRJXPDBPM-HSCJLHHPSA-N,,0.9,,2
Droxicam,CN1C2=C(OC(=O)N(C3=CC=CC=N3)C2=O)C2=CC=CC=C2S1(=O)=O,"InChI=1S/C16H11N3O5S/c1-18-13-14(10-6-2-3-7-11(10)25(18,22)23)24-16(21)19(15(13)20)12-8-4-5-9-17-12/h2-9H,1H3",5'-Hydroxypiroxicam,CN1C(C(O)=NC2=NC=C(O)C=C2)=C(O)C2=CC=CC=C2S1(=O)=O,CCKOORANQAQKKV-UHFFFAOYSA-N,,0.56,,1
Propacetamol,CCN(CC)CC(=O)OC1=CC=C(NC(C)=O)C=C1,"InChI=1S/C14H20N2O3/c1-4-16(5-2)10-14(18)19-13-8-6-12(7-9-13)15-11(3)17/h6-9H,4-5,10H2,1-3H3,(H,15,17)",Acetaminophen glucuronide,CC(=O)NC1=CC=C(OC2OC(C(=O)O)C(O)C(O)C2O)C=C1,IPROLSVTVHAQLE-BYNIDDHOSA-N,,0.31,,1
Propacetamol,CCN(CC)CC(=O)OC1=CC=C(NC(C)=O)C=C1,"InChI=1S/C14H20N2O3/c1-4-16(5-2)10-14(18)19-13-8-6-12(7-9-13)15-11(3)17/h6-9H,4-5,10H2,1-3H3,(H,15,17)",Acetaminophen sulfate,CC(=O)NC1=CC=C(OS(=O)(=O)O)C=C1,IGTYILLPRJOVFY-UHFFFAOYSA-N,,0.41,,1
Tenofovir,CC(CN1C=NC2=C1N=CN=C2N)OCP(=O)(O)O,SGOIRFVFHAKUTI-ZCFIWIBFSA-N,Tenofovir Diphosphate,CC(CN1C=NC2=C1N=CN=C2N)OCP(=O)(O)OP(=O)(O)OP(=O)(O)O,IACQCQDWSIQSRP-ZCFIWIBFSA-N,,0.82,,1
Xylose,O=CC(O)C(O)C(O)CO,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5+/m0/s1",D-Xylulose,O=C(CO)C(O)C(O)CO,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h3,5-8,10H,1-2H2/t3-,5-/m0/s1",,0.57,,1
Cetyl alcohol,CCCCCCCCCCCCCCCCO,"InChI=1S/C16H34O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h17H,2-16H2,1H3",,CC(O)CCCCCCCCCCCCCC(=O)O,,,0.44,,1
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",Prostaglandin E1,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,,,0.2,,1
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",Arachidonic Acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,"InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-",,0.8,,1
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",5-HETE,CCCCCC=CCC=CCC=CC=CC(O)CCCC(=O)O,,,0.62,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",7-HETE,CCCCCC=CCC=CCC=CC(O)C=CCCCC(=O)O,,,0.62,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",10-HETE,CCCCCC=CCC=CC(O)C=CCC=CCCCC(=O)O,,,0.64,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",13-HETE,CCCCCC=CC(O)C=CCC=CCC=CCCCC(=O)O,,,0.62,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",17-HETE,CCCC(O)CC=CCC=CCC=CCC=CCCCC(=O)O,,,0.61,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",15-HETE,CCCCCC(O)C=CC=CCC=CCC=CCCCC(=O)O,,,0.54,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",12-HETE,CCCCCC=CCC(O)C=CC=CCC=CCCCC(=O)O,,,0.53,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",9-HETE,CCCCCC=CCC=CCC(O)C=CC=CCCCC(=O)O,,,0.54,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",8-HETE,CCCCCC=CCC=CC=CC(O)CC=CCCCC(=O)O,,,0.53,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",Dinoprostone,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,"InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-17,19,21,23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4-,13-12+/t15-,16+,17+,19+/m0/s1",,0.2,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",20-HETE,O=C(O)CCCC=CCC=CCC=CCC=CCCCCCO,,,0.84,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",19-HETE,CC(O)CCCC=CCC=CCC=CCC=CCCCC(=O)O,,,0.72,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",18-HETE,CCC(O)CCC=CCC=CCC=CCC=CCCCC(=O)O,,,0.66,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",16-HETE,CCCCC(O)C=CCC=CCC=CCC=CCCCC(=O)O,,,0.61,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-","14,15-EET",CCCCCC1OC1CC=CCC=CCC=CCCCC(=O)O,,,0.41,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-","11,12-EET",CCCCCC=CCC1OC1CC=CCC=CCCCC(=O)O,,,0.44,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-","8,9-EET",CCCCCC=CCC=CCC1OC1CC=CCCCC(=O)O,,,0.44,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-","5,6-EET",CCCCCC=CCC=CCC=CCC1OC1CCCC(=O)O,,,0.41,,2
Gamolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10,12-13H,2-5,8,11,14-17H2,1H3,(H,19,20)/b7-6-,10-9-,13-12-",11-HETE,CCCCCC=CC=CC(O)CC=CCC=CCCCC(=O)O,,,0.54,,2
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",5-HETE,CCCCCC=CCC=CCC=CC=CC(O)CCCC(=O)O,,,0.55,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",7-HETE,CCCCCC=CCC=CCC=CC(O)C=CCCCC(=O)O,,,0.59,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",10-HETE,CCCCCC=CCC=CC(O)C=CCC=CCCCC(=O)O,,,0.61,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",13-HETE,CCCCCC=CC(O)C=CCC=CCC=CCCCC(=O)O,,,0.59,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",17-HETE,CCCC(O)CC=CCC=CCC=CCC=CCCCC(=O)O,,,0.58,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",15-HETE,CCCCCC(O)C=CC=CCC=CCC=CCCCC(=O)O,,,0.56,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",12-HETE,CCCCCC=CCC(O)C=CC=CCC=CCCCC(=O)O,,,0.51,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",9-HETE,CCCCCC=CCC=CCC(O)C=CC=CCCCC(=O)O,,,0.52,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",8-HETE,CCCCCC=CCC=CC=CC(O)CC=CCCCC(=O)O,,,0.51,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",Dinoprostone,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,"InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-17,19,21,23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4-,13-12+/t15-,16+,17+,19+/m0/s1",,0.21,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",20-HETE,O=C(O)CCCC=CCC=CCC=CCC=CCCCCCO,,,0.76,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",19-HETE,CC(O)CCCC=CCC=CCC=CCC=CCCCC(=O)O,,,0.68,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",18-HETE,CCC(O)CCC=CCC=CCC=CCC=CCCCC(=O)O,,,0.63,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",16-HETE,CCCCC(O)C=CCC=CCC=CCC=CCCCC(=O)O,,,0.58,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-","14,15-EET",CCCCCC1OC1CC=CCC=CCC=CCCCC(=O)O,,,0.46,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-","11,12-EET",CCCCCC=CCC1OC1CC=CCC=CCCCC(=O)O,,,0.43,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-","8,9-EET",CCCCCC=CCC=CCC1OC1CC=CCCCC(=O)O,,,0.43,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-","5,6-EET",CCCCCC=CCC=CCC=CCC1OC1CCCC(=O)O,,,0.46,,1
Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",11-HETE,CCCCCC=CC=CC(O)CC=CCC=CCCCC(=O)O,,,0.52,,1
Sennidin A,O=C(O)C1=CC(O)=C2C(=O)C3=C(O)C=CC=C3C(C3C4=CC=CC(O)=C4C(=O)C4=C(O)C=C(C(=O)O)C=C43)C2=C1,JPMRHWLJLNKRTJ-UHFFFAOYSA-N,Rhein,O=C(O)C1=CC2C(=O)C3=C(C(=O)C2C(O)=C1)C(O)=CC=C3,HHQNGUQUHZYDEP-UHFFFAOYSA-N,,0.37,,1
Benzyl alcohol,OCC1=CC=CC=C1,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",Hippuric acid,O=C(O)CNC(=O)C1=CC=CC=C1,QIAFMBKCNZACKA-UHFFFAOYSA-N,,0.18,,1
Benzyl alcohol,OCC1=CC=CC=C1,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",,O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1=CC=CC=C1,,,0.08,,1
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",4-Hydroxycyclophosphamide,O=P1(N(CCCl)CCCl)NC(O)CCO1,RANONBLIHMVXAJ-UHFFFAOYSA-N,,0.69,,1
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",Dechloroethyl cyclophosphamide,O=P1(NCCCl)NCCCO1,DZKGMGPLDJOVCX-UHFFFAOYSA-N,,0.57,,1
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",4-Ketocyclophosphamide,O=C1CCOP(=O)(N(CCCl)CCCl)N1,VBMZHOCORXMDJU-UHFFFAOYSA-N,,0.68,,2
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",Aldophosphamide,NP(=O)(OCCC=O)N(CCCl)CCCl,QMGUSPDJTPDFSF-UHFFFAOYSA-N,,0.59,,2
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",Carboxyphosphamide,NP(=O)(OCCC(=O)O)N(CCCl)CCCl,QLAKAJLYYGOZQL-UHFFFAOYSA-N,,0.57,,3
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",Alcophosphamide,NP(=O)(OCCCO)N(CCCl)CCCl,BZGFIGVSVQRQBJ-UHFFFAOYSA-N,,0.6,,3
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",Phosphoramide Mustard,NP(=O)(O)N(CCCl)CCCl,RJXQSIKBGKVNRT-UHFFFAOYSA-N,,0.37,,3
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",Dechloroethylifosfamide,NP1(=O)OCCCN1CCCl,ROGLJLJCDSTWBN-UHFFFAOYSA-N,,0.8,,1
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",4-Hydroxyifosfamide,O=P1(NCCCl)OCCC(O)N1CCCl,JHUJMHKRHQPBRG-UHFFFAOYSA-N,,0.67,,1
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",4-Ketoifosfamide,O=C1CCOP(=O)(NCCCl)N1CCCl,PEZLCTIXHCOEOG-UHFFFAOYSA-N,,0.67,,2
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",aldoifosfamide,O=CCCOP(=O)(NCCCl)NCCCl,IPTJZZUYNOWWHM-UHFFFAOYSA-N,,0.44,,2
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",4-Thioifosfamide,NC(CCC(=O)NC(CSC1CCOP(=O)(NCCCl)N1CCCl)C(=O)NCC(=O)O)C(=O)O,UINSPYHKZALITP-XNZWOTSQSA-N,,0.4,,2
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",,NC(CCC(O)=NC(CSOC1CCOP(=O)(NCCCl)N1CCCl)C(O)=NCC(=O)O)C(=O)O,,,0.39,,2
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",Alcoifosfamide,O=P(NCCCl)(NCCCl)OCCCO,JOAQXFLTMDRBOD-UHFFFAOYSA-N,,0.45,,3
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",Carboxylifosfamide,O=C(O)CCOP(=O)(NCCCl)NCCCl,DNDBVHDNSYHKLI-UHFFFAOYSA-N,,0.43,,3
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",Isophosphamide mustard,O=P(O)(NCCCl)NCCCl,BKCJZNIZRWYHBN-UHFFFAOYSA-N,,0.25,,3
Trofosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,"InChI=1S/C9H18Cl3N2O2P/c10-2-6-13-5-1-9-16-17(13,15)14(7-3-11)8-4-12/h1-9H2",Ifosforamide Aziridinium,O=P(O)(NCCCl)[NH+]1CC1,NAFVGKNCETZZFN-UHFFFAOYSA-O,,0.32,,4
Nicoboxil,CCCCOCCOC(=O)C1=CN=CC=C1,"InChI=1S/C12H17NO3/c1-2-3-7-15-8-9-16-12(14)11-5-4-6-13-10-11/h4-6,10H,2-3,7-9H2,1H3",Niacinamide,NC(=O)C1=CC=CN=C1,,,0.32,,1
Nicoboxil,CCCCOCCOC(=O)C1=CN=CC=C1,"InChI=1S/C12H17NO3/c1-2-3-7-15-8-9-16-12(14)11-5-4-6-13-10-11/h4-6,10H,2-3,7-9H2,1H3",Trigonelline,C[N+]1=CC=CC(C(=O)[O-])=C1,,,0.5,,1
